Thermistor library version 1.0
Copyright (C) 2007, 2013 - SoftQuadrat GmbH, Germany

Calculate A/D lookup table for NTC thermistor / resistor voltage divider network
using temperature-resstance data points from a file for the thermistor as input.
Usage: ./ttor [-s -40 -e 150 [-s AD_STEP (default=32)] filename
, 4019	//-20
, 4014	//-19
, 4009	//-18
, 4004	//-17
, 3999	//-16
, 3993	//-15
, 3987	//-14
, 3981	//-13
, 3974	//-12
, 3967	//-11
, 3960	//-10
, 3952	//-9
, 3944	//-8
, 3935	//-7
, 3927	//-6
, 3918	//-5
, 3908	//-4
, 3898	//-3
, 3888	//-2
, 3877	//-1
, 3866	//0
, 3854	//1
, 3842	//2
, 3829	//3
, 3816	//4
, 3802	//5
, 3788	//6
, 3773	//7
, 3758	//8
, 3742	//9
, 3726	//10
, 3709	//11
, 3692	//12
, 3674	//13
, 3655	//14
, 3636	//15
, 3617	//16
, 3596	//17
, 3575	//18
, 3554	//19
, 3532	//20
, 3509	//21
, 3486	//22
, 3462	//23
, 3438	//24
, 3413	//25
, 3387	//26
, 3361	//27
, 3334	//28
, 3307	//29
, 3279	//30
, 3251	//31
, 3222	//32
, 3193	//33
, 3163	//34
, 3132	//35
, 3101	//36
, 3070	//37
, 3038	//38
, 3006	//39
, 2974	//40
, 2941	//41
, 2907	//42
, 2873	//43
, 2839	//44
, 2805	//45
, 2770	//46
, 2736	//47
, 2700	//48
, 2665	//49
, 2630	//50
, 2594	//51
, 2558	//52
, 2522	//53
, 2486	//54
, 2450	//55
, 2414	//56
, 2378	//57
, 2342	//58
, 2305	//59
, 2269	//60
, 2233	//61
, 2198	//62
, 2162	//63
, 2126	//64
, 2091	//65
, 2056	//66
, 2020	//67
, 1986	//68
, 1951	//69
, 1917	//70
, 1883	//71
, 1849	//72
, 1815	//73
, 1782	//74
, 1749	//75
, 1717	//76
, 1685	//77
, 1653	//78
, 1622	//79
, 1591	//80
, 1560	//81
, 1530	//82
, 1500	//83
, 1470	//84
, 1442	//85
, 1413	//86
, 1385	//87
, 1357	//88
, 1330	//89
, 1303	//90
, 1277	//91
, 1251	//92
, 1225	//93
, 1200	//94
, 1175	//95
, 1151	//96
, 1127	//97
, 1104	//98
, 1081	//99
, 1059	//100
, 1037	//101
, 1015	//102
, 994	//103
, 973	//104
, 952	//105
, 932	//106
, 913	//107
, 894	//108
, 875	//109
, 856	//110
, 838	//111
, 821	//112
, 803	//113
, 787	//114
, 770	//115
, 754	//116
, 738	//117
, 722	//118
, 707	//119
, 692	//120
, 678	//121
, 663	//122
, 650	//123
, 636	//124
, 623	//125
, 610	//126
, 597	//127
, 584	//128
, 572	//129
, 560	//130
, 549	//131
, 537	//132
, 526	//133
, 515	//134
, 505	//135
, 494	//136
, 484	//137
, 474	//138
, 465	//139
, 455	//140
, 446	//141
, 437	//142
, 428	//143
, 419	//144
, 411	//145
, 403	//146
, 394	//147
, 387	//148
, 379	//149
